DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AL,2001,14,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AL,2002,17,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AL,2003,31,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AL,2004,25,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AL,2010,6,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AT,2001,111,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AT,2002,100,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AT,2003,119,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AT,2004,96,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AT,2005,109,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AT,2006,91,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AT,2007,111,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AT,2008,122,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AT,2009,123,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,AT,2010,126,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BE,2003,105,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BE,2004,132,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BE,2005,122,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BE,2006,119,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BE,2007,118,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BE,2008,127,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BE,2009,120,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BE,2010,128,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BG,2001,72,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BG,2002,64,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BG,2003,62,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BG,2004,58,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BG,2005,118,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BG,2006,126,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BG,2007,113,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BG,2008,81,
ESTAT:HLTH_CD_ANR(1.0),17/04/20 23:00:00,A,NR,F,TOTAL,C00-C14,BG,2009,77,
