freq,unit,sex,age,icd10,geo\TIME_PERIOD	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 
A,NR,F,TOTAL,C43,AL	3 	12 	5 	4 	: 	: 	: 	: 	: 	4 
A,NR,F,TOTAL,C43,AT	119 	127 	128 	121 	138 	128 	132 	136 	125 	176 
A,NR,F,TOTAL,C43,BE	: 	: 	149 	146 	131 	122 	151 	150 	154 	149 
A,NR,F,TOTAL,C43,BG	67 	59 	53 	50 	69 	69 	51 	91 	66 	72 
A,NR,F,TOTAL,C43,CH	98 	102 	101 	127 	120 	114 	116 	129 	128 	131 
A,NR,F,TOTAL,C43,CY	: 	: 	: 	5 	9 	4 	3 	4 	7 	5 
A,NR,F,TOTAL,C43,CZ	169 	150 	153 	150 	148 	131 	128 	158 	149 	143 
A,NR,F,TOTAL,C43,DE	1045 	1070 	1009 	1037 	1089 	1021 	1099 	1135 	1203 	1143 
A,NR,F,TOTAL,C43,DK	113 	104 	110 	98 	109 	91 	103 	99 	106 	: 
A,NR,F,TOTAL,C43,EE	19 	19 	26 	29 	27 	35 	28 	28 	40 	33 
A,NR,F,TOTAL,C43,EL	70 	56 	85 	70 	69 	62 	77 	79 	62 	87 
A,NR,F,TOTAL,C43,ES	351 	333 	355 	337 	362 	428 	379 	367 	384 	424 
A,NR,F,TOTAL,C43,EU27_2020	5026 e	4941 e	5171 	5106 e	5316 e	5243 	5446 	5543 	5698 	5933 e
A,NR,F,TOTAL,C43,EU28	5825 e	5710 e	6005 	5885 e	6165 e	6033 	6384 	6492 	6621 	6871 e
A,NR,F,TOTAL,C43,FI	67 	72 	58 	60 	62 	76 	75 	73 	69 	71 
A,NR,F,TOTAL,C43,FR	631 	666 	684 	661 	716 	741 	675 	750 	727 	828 
A,NR,F,TOTAL,C43,FX	628 	660 	673 	659 	713 	736 	669 	747 	719 	818 
A,NR,F,TOTAL,C43,HR	78 	71 	65 	94 	94 	81 	80 	79 	79 	98 
A,NR,F,TOTAL,C43,HU	137 	158 	177 	142 	172 	148 	145 	156 	128 	131 
A,NR,F,TOTAL,C43,IE	30 	53 	41 	60 	47 	46 	49 	55 	44 	57 
A,NR,F,TOTAL,C43,IS	3 	5 	3 	3 	1 	5 	8 	4 	4 	: 
A,NR,F,TOTAL,C43,IT	654 	639 	667 	: 	: 	635 	728 	654 	745 	761 
